,id,name,GN,OS,PE,SV,n,Tax,RepID
20,UniRef100_A0A2L1HQD8/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas sp. SWI6 TaxID=2083051,A0A2L1HQD8_9PSED
21,UniRef100_UPI0016166B2E/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Simiduia aestuariiviva TaxID=1510459,UPI0016166B2E
22,UniRef100_A0A1G9WCW5/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,4.0,Pseudomonas TaxID=286,A0A1G9WCW5_9PSED
23,UniRef100_A0A143HKM9/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Microbulbifer thermotolerans TaxID=252514,A0A143HKM9_9GAMM
24,UniRef100_UPI001069E931/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas aeruginosa TaxID=287,UPI001069E931
25,UniRef100_A0A4D6X8I0/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas putida TaxID=303,A0A4D6X8I0_PSEPU
26,UniRef100_A0A446AR28/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,2.0,Pseudomonas TaxID=286,A0A446AR28_9PSED
27,UniRef100_A0A2N2RSL4/1-299,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Betaproteobacteria bacterium HGW-Betaproteobacteria-22 TaxID=2013714,A0A2N2RSL4_9PROT
28,UniRef100_A0A368AKA9/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,2.0,unclassified Pseudomonas TaxID=196821,A0A368AKA9_9PSED
29,UniRef100_A0A084C6R4/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,2.0,Pseudomonas TaxID=286,A0A084C6R4_9PSED
30,UniRef100_A0A077F437/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,3.0,Pseudomonas TaxID=286,A0A077F437_9PSED
31,UniRef100_A0A370Q501/1-293,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Idiomarina abyssalis TaxID=86102,A0A370Q501_9GAMM
32,UniRef100_UPI0014244A9C/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Aestuariicella hydrocarbonica TaxID=1470433,UPI0014244A9C
33,UniRef100_UPI000825B577/1-297,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Methylophilales bacterium LSUCC0135 TaxID=1778481,UPI000825B577
34,UniRef100_UPI001596D5ED/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas sp. BML-PP048 TaxID=2740518,UPI001596D5ED
35,UniRef100_A0A411MNI4/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas sp. SNU WT1 TaxID=2518644,A0A411MNI4_9PSED
36,UniRef100_A0A0A7JNQ5/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas parafulva TaxID=157782,A0A0A7JNQ5_9PSED
37,UniRef100_A0A2S5L9F6/1-297,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Methylotenera sp. TaxID=2051956,A0A2S5L9F6_9PROT
38,UniRef100_A0A0Q4N762/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas sp. Leaf58 TaxID=1736226,A0A0Q4N762_9PSED
39,UniRef100_A0A2V6WL80/40-307,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Candidatus Rokubacteria bacterium TaxID=2053607,A0A2V6WL80_9BACT
40,UniRef100_A0A0F0EDJ5/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,9.0,Pseudomonas TaxID=286,A0A0F0EDJ5_9PSED
41,UniRef100_A0A5K7U227/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas sp. KU43P TaxID=2487887,A0A5K7U227_9PSED
42,UniRef100_A5W8P4/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,17.0,Pseudomonas TaxID=286,LPXC_PSEP1
43,UniRef100_A0A661DL50/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Gammaproteobacteria bacterium TaxID=1913989,A0A661DL50_9GAMM
44,UniRef100_UPI001369DB28/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomaricurvus sp. HS19 TaxID=2692626,UPI001369DB28
45,UniRef100_UPI00040CF684/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas TaxID=286,UPI00040CF684
46,UniRef100_A0A2L1WAF9/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,11.0,Pseudomonas TaxID=286,A0A2L1WAF9_9PSED
47,UniRef100_A0A3M1UHG8/1-297,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Gammaproteobacteria bacterium TaxID=1913989,A0A3M1UHG8_9GAMM
48,UniRef100_A0A142BEJ0/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,2.0,Endozoicomonas montiporae TaxID=1027273,A0A142BEJ0_9GAMM
49,UniRef100_UPI0009B4EBC4/2-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,2.0,Pseudomonas aeruginosa TaxID=287,UPI0009B4EBC4
50,UniRef100_UPI001241C453/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas aeruginosa TaxID=287,UPI001241C453
51,UniRef100_A0A1L7NIZ0/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,4.0,Pseudomonas TaxID=286,A0A1L7NIZ0_PSEPU
52,UniRef100_A0A443ZS30/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas alkylphenolica TaxID=237609,A0A443ZS30_9PSED
53,UniRef100_A0A1B8P4S3/1-298,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,2.0,Halomonas elongata TaxID=2746,A0A1B8P4S3_HALEL
54,UniRef100_K4KNW7/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Simiduia agarivorans (strain DSM 21679 / JCM 13881 / BCRC 17597 / SA1) TaxID=1117647,K4KNW7_SIMAS
55,UniRef100_UPI00106769D8/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas aeruginosa TaxID=287,UPI00106769D8
56,UniRef100_A0A4V2ZXH9/1-297,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Halieaceae bacterium GH4-78 TaxID=2547392,A0A4V2ZXH9_9GAMM
57,UniRef100_A0A5B0X588/1-297,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Halioglobus sp. NY5 TaxID=2606449,A0A5B0X588_9GAMM
58,UniRef100_A0A420WV98/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Kushneria sinocarnis TaxID=595502,A0A420WV98_9GAMM
59,UniRef100_UPI00148B3F4C/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas aeruginosa TaxID=287,UPI00148B3F4C
60,UniRef100_B7UZI4/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,31.0,Proteobacteria TaxID=1224,LPXC_PSEA8
61,UniRef100_A0A315WTQ2/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas sp. SDI TaxID=2170734,A0A315WTQ2_9PSED
62,UniRef100_Q5R0M7/1-293,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,3.0,Idiomarina TaxID=135575,LPXC_IDILO
63,UniRef100_UPI0015E78F36/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas aeruginosa TaxID=287,UPI0015E78F36
64,UniRef100_A0A5D9CV98/1-298,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Halomonas eurihalina TaxID=42566,A0A5D9CV98_HALER
65,UniRef100_J3IUF3/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas sp. GM84 TaxID=1144340,J3IUF3_9PSED
66,UniRef100_E1VHG8/1-299,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,gamma proteobacterium HdN1 TaxID=83406,E1VHG8_9GAMM
67,UniRef100_A6VB79/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,4.0,Pseudomonas aeruginosa TaxID=287,LPXC_PSEA7
68,UniRef100_A0A0C4WIU4/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,2.0,Azotobacter chroococcum TaxID=353,A0A0C4WIU4_9GAMM
69,UniRef100_UPI00104ACCA2/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas aeruginosa TaxID=287,UPI00104ACCA2
70,UniRef100_A0A5E6TNK0/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,3.0,Pseudomonas TaxID=286,A0A5E6TNK0_PSEFL
71,UniRef100_UPI000F82949E/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas aeruginosa TaxID=287,UPI000F82949E
72,UniRef100_A0A2N5X7B2/1-297,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Halioglobus lutimaris TaxID=1737061,A0A2N5X7B2_9GAMM
73,UniRef100_UPI00168739C8/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Spongiibacter sp. KMU-158 TaxID=2760804,UPI00168739C8
74,UniRef100_A0A0A8RL48/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas aeruginosa TaxID=287,A0A0A8RL48_PSEAI
75,UniRef100_A0A4V1IPD0/1-302,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Zooshikella ganghwensis TaxID=202772,A0A4V1IPD0_9GAMM
76,UniRef100_A0A1Y6BBI4/1-299,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Alteromonadaceae bacterium Bs31 TaxID=1304903,A0A1Y6BBI4_9ALTE
77,UniRef100_A0A1S1NW81/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Kushneria sp. YCWA18 TaxID=657387,A0A1S1NW81_9GAMM
78,UniRef100_A0A0Q0SXD0/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas endophytica TaxID=1563157,A0A0Q0SXD0_9PSED
79,UniRef100_Q02H34/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas aeruginosa (strain UCBPP-PA14) TaxID=208963,LPXC_PSEAB
80,UniRef100_A0A5E6W1V5/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas fluorescens TaxID=294,A0A5E6W1V5_PSEFL
81,UniRef100_A0A520YWU0/1-299,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonadales bacterium TaxID=1891229,A0A520YWU0_9GAMM
82,UniRef100_A0A2D1TBL1/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,3.0,Pseudomonas TaxID=286,A0A2D1TBL1_PSEPU
83,UniRef100_A0A4U1KIV5/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Azotobacter chroococcum TaxID=353,A0A4U1KIV5_9GAMM
84,UniRef100_A0A340Y455/63-362,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,2.0,cellular organisms TaxID=131567,A0A340Y455_LIPVE
85,UniRef100_A0A351KRZ5/1-298,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Methylococcaceae bacterium TaxID=1933926,A0A351KRZ5_9GAMM
86,UniRef100_A0A2T5PET0/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas sp. TC-11 TaxID=2161748,A0A2T5PET0_9PSED
87,UniRef100_UPI00104314ED/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas aeruginosa TaxID=287,UPI00104314ED
88,UniRef100_A0A2W5CW79/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas kuykendallii TaxID=1007099,A0A2W5CW79_9PSED
89,UniRef100_A0A1C1WLF3/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,3.0,Pseudomonas TaxID=286,A0A1C1WLF3_9PSED
90,UniRef100_UPI0010504F66/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas aeruginosa TaxID=287,UPI0010504F66
91,UniRef100_UPI000EB0E120/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas sp. T3 TaxID=638269,UPI000EB0E120
92,UniRef100_UPI00123241C8/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas aeruginosa TaxID=287,UPI00123241C8
93,UniRef100_UPI000F54A04A/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas aeruginosa TaxID=287,UPI000F54A04A
94,UniRef100_A0A1G0NEF6/1-298,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Hydrogenophilales bacterium RIFOXYD1_FULL_62_11 TaxID=1798415,A0A1G0NEF6_9PROT
95,UniRef100_UPI000D0B9C34/1-299,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Halomonadaceae bacterium R4HLG17 TaxID=2081032,UPI000D0B9C34
96,UniRef100_A0A1F6UM63/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Candidatus Muproteobacteria bacterium RBG_19FT_COMBO_61_10 TaxID=1817761,A0A1F6UM63_9PROT
97,UniRef100_UPI0014397516/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas sp. hsmgli-8 TaxID=2722792,UPI0014397516
98,UniRef100_UPI0005CFE23C/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas sp. LFM046 TaxID=1608357,UPI0005CFE23C
99,UniRef100_A0A1G8VDW6/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Microbulbifer yueqingensis TaxID=658219,A0A1G8VDW6_9GAMM
100,UniRef100_Q3SMG6/1-297,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Thiobacillus denitrificans (strain ATCC 25259) TaxID=292415,LPXC_THIDA
101,UniRef100_A0A2P5LAR8/1-297,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Methylotenera sp. TaxID=2051956,A0A2P5LAR8_9PROT
102,UniRef100_A0A078LX56/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas saudiphocaensis TaxID=1499686,A0A078LX56_9PSED
103,UniRef100_A0A0J6IF08/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,5.0,Pseudomonas TaxID=286,A0A0J6IF08_9PSED
104,UniRef100_UPI0008A49143/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas aeruginosa TaxID=287,UPI0008A49143
105,UniRef100_A0A2G6KRI8/1-299,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Gammaproteobacteria bacterium TaxID=1913989,A0A2G6KRI8_9GAMM
106,UniRef100_A0A1S8EW24/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,4.0,Pseudomonas TaxID=286,A0A1S8EW24_PSEST
107,UniRef100_UPI0002DA33E5/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas putida TaxID=303,UPI0002DA33E5
108,UniRef100_A0A559QQ46/1-299,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Alteromonadaceae bacterium 2753L.S.0a.02 TaxID=1403320,A0A559QQ46_9ALTE
109,UniRef100_I4JP38/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas stutzeri TS44 TaxID=477228,I4JP38_PSEST
110,UniRef100_UPI0014126ABC/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas sp. R5(2019) TaxID=2697566,UPI0014126ABC
111,UniRef100_UPI000FC3F692/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas aeruginosa TaxID=287,UPI000FC3F692
112,UniRef100_A0A6A7YTT5/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,2.0,Pseudomonas TaxID=286,A0A6A7YTT5_9PSED
113,UniRef100_A0A3D3M8P1/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,2.0,Pseudomonas TaxID=286,A0A3D3M8P1_PSESP
114,UniRef100_A0A0D1P7M5/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,5.0,Pseudomonas TaxID=286,A0A0D1P7M5_PSEPU
115,UniRef100_UPI000318ACBE/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas psychrophila TaxID=122355,UPI000318ACBE
116,UniRef100_UPI00106D157F/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas aeruginosa TaxID=287,UPI00106D157F
117,UniRef100_UPI001586A4FA/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas sp. C1C7 TaxID=2735272,UPI001586A4FA
118,UniRef100_A0A1Y3KCB5/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas sp. 1239 TaxID=1985343,A0A1Y3KCB5_9PSED
119,UniRef100_A0A259ELT2/1-297,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Hydrogenophilales bacterium 17-61-9 TaxID=1970524,A0A259ELT2_9PROT
120,UniRef100_L8MC72/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,2.0,Pseudomonas TaxID=286,L8MC72_PSEFK
121,UniRef100_UPI000F84947E/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Sulfuriflexus mobilis TaxID=1811807,UPI000F84947E
122,UniRef100_A0A4R1PT44/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Azotobacter chroococcum TaxID=353,A0A4R1PT44_9GAMM
123,UniRef100_UPI00032D67C8/4-301,[subseq from] UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) TaxID=208964,UPI00032D67C8
124,UniRef100_A0A387AGE5/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,2.0,unclassified Pseudomonas TaxID=196821,A0A387AGE5_9PSED
125,UniRef100_A0A1Q9QW41/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas putida TaxID=303,A0A1Q9QW41_PSEPU
126,UniRef100_UPI001045AD7E/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas aeruginosa TaxID=287,UPI001045AD7E
127,UniRef100_UPI0003F6008A/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas azotifigens TaxID=291995,UPI0003F6008A
128,UniRef100_A0A2S9EVU6/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas poae TaxID=200451,A0A2S9EVU6_9PSED
129,UniRef100_A0A4Y9VQ19/1-297,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Methylotenera sp. La3113 TaxID=2080758,A0A4Y9VQ19_9PROT
130,UniRef100_UPI00066D15F7/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas aeruginosa TaxID=287,UPI00066D15F7
131,UniRef100_UPI0011843E33/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas aeruginosa TaxID=287,UPI0011843E33
132,UniRef100_A0A5J6QKU8/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas sp. PE08 TaxID=2604832,A0A5J6QKU8_9PSED
133,UniRef100_A0A379IK75/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,9.0,Pseudomonas TaxID=286,A0A379IK75_PSEFL
134,UniRef100_UPI00040D8FF8/1-302,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Zooshikella ganghwensis TaxID=202772,UPI00040D8FF8
135,UniRef100_Q3K750/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,10.0,Pseudomonas TaxID=286,LPXC_PSEPF
136,UniRef100_A0A2W4JSK9/1-296,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Proteobacteria bacterium TaxID=1977087,A0A2W4JSK9_9PROT
137,UniRef100_A0A1I4R9W1/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas yangmingensis TaxID=1720063,A0A1I4R9W1_9PSED
138,UniRef100_I4N9A9/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas sp. M47T1 TaxID=1179778,I4N9A9_9PSED
139,UniRef100_Q4K6J9/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,16.0,Pseudomonas TaxID=286,LPXC_PSEF5
140,UniRef100_UPI000F87CD49/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas aeruginosa TaxID=287,UPI000F87CD49
141,UniRef100_A0A3S0PBC2/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas veronii TaxID=76761,A0A3S0PBC2_9PSED
